IDX,UPPER_LEFT_LONGITUDE,UPPER_LEFT_LATITUDE,UPPER_RIGHT_LONGITUDE,UPPER_RIGHT_LATITUDE,LOWER_RIGHT_LONGITUDE,LOWER_RIGHT_LATITUDE,LOWER_LEFT_LONGITUDE,LOWER_LEFT_LATITUDE
1,131.5,42.5,132,42.5,132,42,131.5,42
2,130,42,130.5,42,130.5,41.5,130,41.5
3,130.5,42,131,42,131,41.5,130.5,41.5
4,131,42,131.5,42,131.5,41.5,131,41.5
5,131.5,42,132,42,132,41.5,131.5,41.5
6,129.5,41.5,130,41.5,130,41,129.5,41
7,130,41.5,130.5,41.5,130.5,41,130,41
8,130.5,41.5,131,41.5,131,41,130.5,41
9,131,41.5,131.5,41.5,131.5,41,131,41
10,131.5,41.5,132,41.5,132,41,131.5,41
11,129.5,41,130,41,130,40.5,129.5,40.5
12,130,41,130.5,41,130.5,40.5,130,40.5
13,130.5,41,131,41,131,40.5,130.5,40.5
14,131,41,131.5,41,131.5,40.5,131,40.5
15,131.5,41,132,41,132,40.5,131.5,40.5
16,129,40.5,129.5,40.5,129.5,40,129,40
17,129.5,40.5,130,40.5,130,40,129.5,40
18,130,40.5,130.5,40.5,130.5,40,130,40
19,130.5,40.5,131,40.5,131,40,130.5,40
20,131,40.5,131.5,40.5,131.5,40,131,40
21,131.5,40.5,132,40.5,132,40,131.5,40
22,128.5,40,129,40,129,39.5,128.5,39.5
23,129,40,129.5,40,129.5,39.5,129,39.5
24,129.5,40,130,40,130,39.5,129.5,39.5
25,130,40,130.5,40,130.5,39.5,130,39.5
26,130.5,40,131,40,131,39.5,130.5,39.5
27,131,40,131.5,40,131.5,39.5,131,39.5
28,131.5,40,132,40,132,39.5,131.5,39.5
29,127.5,39.5,128,39.5,128,39,127.5,39
30,128,39.5,128.5,39.5,128.5,39,128,39
31,128.5,39.5,129,39.5,129,39,128.5,39
32,129,39.5,129.5,39.5,129.5,39,129,39
33,129.5,39.5,130,39.5,130,39,129.5,39
34,130,39.5,130.5,39.5,130.5,39,130,39
35,130.5,39.5,131,39.5,131,39,130.5,39
36,131,39.5,131.5,39.5,131.5,39,131,39
37,131.5,39.5,132,39.5,132,39,131.5,39
38,127.5,39,128,39,128,38.5,127.5,38.5
39,128,39,128.5,39,128.5,38.5,128,38.5
40,128.5,39,129,39,129,38.5,128.5,38.5
41,129,39,129.5,39,129.5,38.5,129,38.5
42,129.5,39,130,39,130,38.5,129.5,38.5
43,130,39,130.5,39,130.5,38.5,130,38.5
44,130.5,39,131,39,131,38.5,130.5,38.5
45,131,39,131.5,39,131.5,38.5,131,38.5
46,131.5,39,132,39,132,38.5,131.5,38.5
47,128,38.5,128.5,38.5,128.5,38,128,38
48,128.5,38.5,129,38.5,129,38,128.5,38
49,129,38.5,129.5,38.5,129.5,38,129,38
50,129.5,38.5,130,38.5,130,38,129.5,38
51,130,38.5,130.5,38.5,130.5,38,130,38
52,130.5,38.5,131,38.5,131,38,130.5,38
53,131,38.5,131.5,38.5,131.5,38,131,38
54,131.5,38.5,132,38.5,132,38,131.5,38
55,128.5,38,129,38,129,37.5,128.5,37.5
56,129,38,129.5,38,129.5,37.5,129,37.5
57,129.5,38,130,38,130,37.5,129.5,37.5
58,130,38,130.5,38,130.5,37.5,130,37.5
59,130.5,38,131,38,131,37.5,130.5,37.5
60,131,38,131.5,38,131.5,37.5,131,37.5
61,131.5,38,132,38,132,37.5,131.5,37.5
62,128.5,37.5,129,37.5,129,37,128.5,37
63,129,37.5,129.5,37.5,129.5,37,129,37
64,129.5,37.5,130,37.5,130,37,129.5,37
65,130,37.5,130.5,37.5,130.5,37,130,37
66,130.5,37.5,131,37.5,131,37,130.5,37
67,131,37.5,131.5,37.5,131.5,37,131,37
68,131.5,37.5,132,37.5,132,37,131.5,37
69,129,37,129.5,37,129.5,36.5,129,36.5
70,129.5,37,130,37,130,36.5,129.5,36.5
71,130,37,130.5,37,130.5,36.5,130,36.5
72,130.5,37,131,37,131,36.5,130.5,36.5
73,131,37,131.5,37,131.5,36.5,131,36.5
74,131.5,37,132,37,132,36.5,131.5,36.5
75,129,36.5,129.5,36.5,129.5,36,129,36
76,129.5,36.5,130,36.5,130,36,129.5,36
77,130,36.5,130.5,36.5,130.5,36,130,36
78,130.5,36.5,131,36.5,131,36,130.5,36
79,131,36.5,131.5,36.5,131.5,36,131,36
80,131.5,36.5,132,36.5,132,36,131.5,36
81,129,36,129.5,36,129.5,35.5,129,35.5
82,129.5,36,130,36,130,35.5,129.5,35.5
83,130,36,130.5,36,130.5,35.5,130,35.5
84,130.5,36,131,36,131,35.5,130.5,35.5
85,131,36,131.5,36,131.5,35.5,131,35.5
86,131.5,36,132,36,132,35.5,131.5,35.5
87,129.5,35.5,130,35.5,130,35,129.5,35
88,130,35.5,130.5,35.5,130.5,35,130,35
89,130.5,35.5,131,35.5,131,35,130.5,35
90,131,35.5,131.5,35.5,131.5,35,131,35
91,131.5,35.5,132,35.5,132,35,131.5,35
92,129,35,129.5,35,129.5,34.5,129,34.5
93,129.5,35,130,35,130,34.5,129.5,34.5
94,130,35,130.5,35,130.5,34.5,130,34.5
95,130.5,35,131,35,131,34.5,130.5,34.5
96,131,35,131.5,35,131.5,34.5,131,34.5
97,127.5,34.5,128,34.5,128,34,127.5,34
98,128,34.5,128.5,34.5,128.5,34,128,34
99,128.5,34.5,129,34.5,129,34,128.5,34
100,129,34.5,129.5,34.5,129.5,34,129,34
101,129.5,34.5,130,34.5,130,34,129.5,34
102,130,34.5,130.5,34.5,130.5,34,130,34
103,130.5,34.5,131,34.5,131,34,130.5,34
104,127.5,34,128,34,128,33.5,127.5,33.5
105,128,34,128.5,34,128.5,33.5,128,33.5
106,128.5,34,129,34,129,33.5,128.5,33.5
107,129,34,129.5,34,129.5,33.5,129,33.5
108,129.5,34,130,34,130,33.5,129.5,33.5
109,130,34,130.5,34,130.5,33.5,130,33.5
110,127.5,33.5,128,33.5,128,33,127.5,33
111,128,33.5,128.5,33.5,128.5,33,128,33
112,128.5,33.5,129,33.5,129,33,128.5,33
113,127.5,33,128,33,128,32.5,127.5,32.5
114,128,33,128.5,33,128.5,32.5,128,32.5
115,127.5,32.5,128,32.5,128,32,127.5,32
116,123,39.5,123.5,39.5,123.5,39,123,39
117,123.5,39.5,124,39.5,124,39,123.5,39
118,124,39.5,124.5,39.5,124.5,39,124,39
119,122.5,39,123,39,123,38.5,122.5,38.5
120,123,39,123.5,39,123.5,38.5,123,38.5
121,123.5,39,124,39,124,38.5,123.5,38.5
122,124,39,124.5,39,124.5,38.5,124,38.5
123,124.5,39,125,39,125,38.5,124.5,38.5
124,125,39,125.5,39,125.5,38.5,125,38.5
125,122,38.5,122.5,38.5,122.5,38,122,38
126,122.5,38.5,123,38.5,123,38,122.5,38
127,123,38.5,123.5,38.5,123.5,38,123,38
128,123.5,38.5,124,38.5,124,38,123.5,38
129,124,38.5,124.5,38.5,124.5,38,124,38
130,124.5,38.5,125,38.5,125,38,124.5,38
131,121.5,38,122,38,122,37.5,121.5,37.5
132,122,38,122.5,38,122.5,37.5,122,37.5
133,122.5,38,123,38,123,37.5,122.5,37.5
134,123,38,123.5,38,123.5,37.5,123,37.5
135,123.5,38,124,38,124,37.5,123.5,37.5
136,124,38,124.5,38,124.5,37.5,124,37.5
137,124.5,38,125,38,125,37.5,124.5,37.5
138,121.5,37.5,122,37.5,122,37,121.5,37
139,122,37.5,122.5,37.5,122.5,37,122,37
140,122.5,37.5,123,37.5,123,37,122.5,37
141,123,37.5,123.5,37.5,123.5,37,123,37
142,123.5,37.5,124,37.5,124,37,123.5,37
143,124,37.5,124.5,37.5,124.5,37,124,37
144,124.5,37.5,125,37.5,125,37,124.5,37
145,125,37.5,125.5,37.5,125.5,37,125,37
146,125.5,37.5,126,37.5,126,37,125.5,37
147,122.5,37,123,37,123,36.5,122.5,36.5
148,123,37,123.5,37,123.5,36.5,123,36.5
149,123.5,37,124,37,124,36.5,123.5,36.5
150,124,37,124.5,37,124.5,36.5,124,36.5
151,124.5,37,125,37,125,36.5,124.5,36.5
152,125,37,125.5,37,125.5,36.5,125,36.5
153,125.5,37,126,37,126,36.5,125.5,36.5
154,126,37,126.5,37,126.5,36.5,126,36.5
155,121.5,36.5,122,36.5,122,36,121.5,36
156,122,36.5,122.5,36.5,122.5,36,122,36
157,122.5,36.5,123,36.5,123,36,122.5,36
158,123,36.5,123.5,36.5,123.5,36,123,36
159,123.5,36.5,124,36.5,124,36,123.5,36
160,124,36.5,124.5,36.5,124.5,36,124,36
161,124.5,36.5,125,36.5,125,36,124.5,36
162,125,36.5,125.5,36.5,125.5,36,125,36
163,125.5,36.5,126,36.5,126,36,125.5,36
164,126,36.5,126.5,36.5,126.5,36,126,36
165,121.5,36,122,36,122,35.5,121.5,35.5
166,122,36,122.5,36,122.5,35.5,122,35.5
167,122.5,36,123,36,123,35.5,122.5,35.5
168,123,36,123.5,36,123.5,35.5,123,35.5
169,123.5,36,124,36,124,35.5,123.5,35.5
170,124,36,124.5,36,124.5,35.5,124,35.5
171,124.5,36,125,36,125,35.5,124.5,35.5
172,125,36,125.5,36,125.5,35.5,125,35.5
173,125.5,36,126,36,126,35.5,125.5,35.5
174,126,36,126.5,36,126.5,35.5,126,35.5
175,121.5,35.5,122,35.5,122,35,121.5,35
176,122,35.5,122.5,35.5,122.5,35,122,35
177,122.5,35.5,123,35.5,123,35,122.5,35
178,123,35.5,123.5,35.5,123.5,35,123,35
179,123.5,35.5,124,35.5,124,35,123.5,35
180,124,35.5,124.5,35.5,124.5,35,124,35
181,124.5,35.5,125,35.5,125,35,124.5,35
182,125,35.5,125.5,35.5,125.5,35,125,35
183,125.5,35.5,126,35.5,126,35,125.5,35
184,126,35.5,126.5,35.5,126.5,35,126,35
185,121.5,35,122,35,122,34.5,121.5,34.5
186,122,35,122.5,35,122.5,34.5,122,34.5
187,122.5,35,123,35,123,34.5,122.5,34.5
188,123,35,123.5,35,123.5,34.5,123,34.5
189,123.5,35,124,35,124,34.5,123.5,34.5
190,124,35,124.5,35,124.5,34.5,124,34.5
191,124.5,35,125,35,125,34.5,124.5,34.5
192,125,35,125.5,35,125.5,34.5,125,34.5
193,125.5,35,126,35,126,34.5,125.5,34.5
194,126,35,126.5,35,126.5,34.5,126,34.5
195,121.5,34.5,122,34.5,122,34,121.5,34
196,122,34.5,122.5,34.5,122.5,34,122,34
197,122.5,34.5,123,34.5,123,34,122.5,34
198,123,34.5,123.5,34.5,123.5,34,123,34
199,123.5,34.5,124,34.5,124,34,123.5,34
200,124,34.5,124.5,34.5,124.5,34,124,34
201,124.5,34.5,125,34.5,125,34,124.5,34
202,125,34.5,125.5,34.5,125.5,34,125,34
203,125.5,34.5,126,34.5,126,34,125.5,34
204,126,34.5,126.5,34.5,126.5,34,126,34
205,122.5,34,123,34,123,33.5,122.5,33.5
206,123,34,123.5,34,123.5,33.5,123,33.5
207,123.5,34,124,34,124,33.5,123.5,33.5
208,124,34,124.5,34,124.5,33.5,124,33.5
209,124.5,34,125,34,125,33.5,124.5,33.5
210,125,34,125.5,34,125.5,33.5,125,33.5
211,125.5,34,126,34,126,33.5,125.5,33.5
212,126,34,126.5,34,126.5,33.5,126,33.5
213,126.5,34,127,34,127,33.5,126.5,33.5
214,127,34,127.5,34,127.5,33.5,127,33.5
215,122.5,33.5,123,33.5,123,33,122.5,33
216,123,33.5,123.5,33.5,123.5,33,123,33
217,123.5,33.5,124,33.5,124,33,123.5,33
218,124,33.5,124.5,33.5,124.5,33,124,33
219,124.5,33.5,125,33.5,125,33,124.5,33
220,125,33.5,125.5,33.5,125.5,33,125,33
221,125.5,33.5,126,33.5,126,33,125.5,33
222,126,33.5,126.5,33.5,126.5,33,126,33
223,126.5,33.5,127,33.5,127,33,126.5,33
224,127,33.5,127.5,33.5,127.5,33,127,33
225,122.5,33,123,33,123,32.5,122.5,32.5
226,123,33,123.5,33,123.5,32.5,123,32.5
227,123.5,33,124,33,124,32.5,123.5,32.5
228,124,33,124.5,33,124.5,32.5,124,32.5
229,124.5,33,125,33,125,32.5,124.5,32.5
230,125,33,125.5,33,125.5,32.5,125,32.5
231,125.5,33,126,33,126,32.5,125.5,32.5
232,126,33,126.5,33,126.5,32.5,126,32.5
233,126.5,33,127,33,127,32.5,126.5,32.5
234,127,33,127.5,33,127.5,32.5,127,32.5
235,122.5,32.5,123,32.5,123,32,122.5,32
236,123,32.5,123.5,32.5,123.5,32,123,32
237,123.5,32.5,124,32.5,124,32,123.5,32
238,124,32.5,124.5,32.5,124.5,32,124,32
239,124.5,32.5,125,32.5,125,32,124.5,32
240,125,32.5,125.5,32.5,125.5,32,125,32
241,125.5,32.5,126,32.5,126,32,125.5,32
242,126,32.5,126.5,32.5,126.5,32,126,32
243,126.5,32.5,127,32.5,127,32,126.5,32
244,127,32.5,127.5,32.5,127.5,32,127,32
245,122.5,32,123,32,123,31.5,122.5,31.5
246,123,32,123.5,32,123.5,31.5,123,31.5
247,123.5,32,124,32,124,31.5,123.5,31.5
248,124,32,124.5,32,124.5,31.5,124,31.5
249,124.5,32,125,32,125,31.5,124.5,31.5
250,125,32,125.5,32,125.5,31.5,125,31.5
251,125.5,32,126,32,126,31.5,125.5,31.5
252,126,32,126.5,32,126.5,31.5,126,31.5
253,126.5,32,127,32,127,31.5,126.5,31.5
254,127,32,127.5,32,127.5,31.5,127,31.5
258,135,28,135.5,28,135.5,27.5,135,27.5
259,135.5,28,136,28,136,27.5,135.5,27.5
260,136,28,136.5,28,136.5,27.5,136,27.5
261,136.5,28,137,28,137,27.5,136.5,27.5
262,137,28,137.5,28,137.5,27.5,137,27.5
263,137.5,28,138,28,138,27.5,137.5,27.5
264,135,27.5,135.5,27.5,135.5,27,135,27
265,135.5,27.5,136,27.5,136,27,135.5,27
266,136,27.5,136.5,27.5,136.5,27,136,27
267,136.5,27.5,137,27.5,137,27,136.5,27
268,137,27.5,137.5,27.5,137.5,27,137,27
269,137.5,27.5,138,27.5,138,27,137.5,27
270,135,27,135.5,27,135.5,26.5,135,26.5
271,135.5,27,136,27,136,26.5,135.5,26.5
272,136,27,136.5,27,136.5,26.5,136,26.5
273,136.5,27,137,27,137,26.5,136.5,26.5
274,137,27,137.5,27,137.5,26.5,137,26.5
275,137.5,27,138,27,138,26.5,137.5,26.5
276,135,26.5,135.5,26.5,135.5,26,135,26
277,135.5,26.5,136,26.5,136,26,135.5,26
278,136,26.5,136.5,26.5,136.5,26,136,26
279,136.5,26.5,137,26.5,137,26,136.5,26
280,137,26.5,137.5,26.5,137.5,26,137,26
281,137.5,26.5,138,26.5,138,26,137.5,26
282,135,26,135.5,26,135.5,25.5,135,25.5
283,135.5,26,136,26,136,25.5,135.5,25.5
284,136,26,136.5,26,136.5,25.5,136,25.5
285,136.5,26,137,26,137,25.5,136.5,25.5
286,137,26,137.5,26,137.5,25.5,137,25.5
287,137.5,26,138,26,138,25.5,137.5,25.5
288,135,25.5,135.5,25.5,135.5,25,135,25
289,135.5,25.5,136,25.5,136,25,135.5,25
290,136,25.5,136.5,25.5,136.5,25,136,25
291,136.5,25.5,137,25.5,137,25,136.5,25
292,137,25.5,137.5,25.5,137.5,25,137,25
293,137.5,25.5,138,25.5,138,25,137.5,25
294,135,25,135.5,25,135.5,24.5,135,24.5
295,135.5,25,136,25,136,24.5,135.5,24.5
296,136,25,136.5,25,136.5,24.5,136,24.5
297,136.5,25,137,25,137,24.5,136.5,24.5
298,137,25,137.5,25,137.5,24.5,137,24.5
299,137.5,25,138,25,138,24.5,137.5,24.5
302,132,42.5,132.5,42.5,132.5,42,132,42
303,132.5,42.5,133,42.5,133,42,132.5,42
304,133,42.5,133.5,42.5,133.5,42,133,42
305,133.5,42.5,134,42.5,134,42,133.5,42
306,132,42,132.5,42,132.5,41.5,132,41.5
307,132.5,42,133,42,133,41.5,132.5,41.5
308,133,42,133.5,42,133.5,41.5,133,41.5
309,133.5,42,134,42,134,41.5,133.5,41.5
310,132,41.5,132.5,41.5,132.5,41,132,41
311,132.5,41.5,133,41.5,133,41,132.5,41
312,133,41.5,133.5,41.5,133.5,41,133,41
313,133.5,41.5,134,41.5,134,41,133.5,41
314,132,41,132.5,41,132.5,40.5,132,40.5
315,132.5,41,133,41,133,40.5,132.5,40.5
316,133,41,133.5,41,133.5,40.5,133,40.5
317,133.5,41,134,41,134,40.5,133.5,40.5
318,132,40.5,132.5,40.5,132.5,40,132,40
319,132.5,40.5,133,40.5,133,40,132.5,40
320,133,40.5,133.5,40.5,133.5,40,133,40
321,133.5,40.5,134,40.5,134,40,133.5,40
322,132,40,132.5,40,132.5,39.5,132,39.5
323,132.5,40,133,40,133,39.5,132.5,39.5
324,133,40,133.5,40,133.5,39.5,133,39.5
325,133.5,40,134,40,134,39.5,133.5,39.5
326,132,39.5,132.5,39.5,132.5,39,132,39
327,132.5,39.5,133,39.5,133,39,132.5,39
328,133,39.5,133.5,39.5,133.5,39,133,39
329,133.5,39.5,134,39.5,134,39,133.5,39
330,132,39,132.5,39,132.5,38.5,132,38.5
331,132.5,39,133,39,133,38.5,132.5,38.5
332,133,39,133.5,39,133.5,38.5,133,38.5
333,133.5,39,134,39,134,38.5,133.5,38.5
334,132,38.5,132.5,38.5,132.5,38,132,38
335,132.5,38.5,133,38.5,133,38,132.5,38
336,133,38.5,133.5,38.5,133.5,38,133,38
337,133.5,38.5,134,38.5,134,38,133.5,38
338,132,38,132.5,38,132.5,37.5,132,37.5
339,132.5,38,133,38,133,37.5,132.5,37.5
340,133,38,133.5,38,133.5,37.5,133,37.5
341,133.5,38,134,38,134,37.5,133.5,37.5
342,132,37.5,132.5,37.5,132.5,37,132,37
343,132.5,37.5,133,37.5,133,37,132.5,37
344,133,37.5,133.5,37.5,133.5,37,133,37
345,133.5,37.5,134,37.5,134,37,133.5,37
346,132,37,132.5,37,132.5,36.5,132,36.5
347,132.5,37,133,37,133,36.5,132.5,36.5
348,133,37,133.5,37,133.5,36.5,133,36.5
349,133.5,37,134,37,134,36.5,133.5,36.5
350,132,36.5,132.5,36.5,132.5,36,132,36
351,132.5,36.5,133,36.5,133,36,132.5,36
352,133,36.5,133.5,36.5,133.5,36,133,36
353,133.5,36.5,134,36.5,134,36,133.5,36
354,132,36,132.5,36,132.5,35.5,132,35.5
355,132.5,36,133,36,133,35.5,132.5,35.5
356,133,36,133.5,36,133.5,35.5,133,35.5
357,133.5,36,134,36,134,35.5,133.5,35.5
358,132,35.5,132.5,35.5,132.5,35,132,35
359,132.5,35.5,133,35.5,133,35,132.5,35
360,133,35.5,133.5,35.5,133.5,35,133,35
361,133.5,35.5,134,35.5,134,35,133.5,35
362,131.5,35,132,35,132,34.5,131.5,34.5
363,132,35,132.5,35,132.5,34.5,132,34.5
365,131,34.5,131.5,34.5,131.5,34,131,34
366,131.5,34.5,132,34.5,132,34,131.5,34
367,130.5,34,131,34,131,33.5,130.5,33.5
368,129,33.5,129.5,33.5,129.5,33,129,33
369,129.5,33.5,130,33.5,130,33,129.5,33
370,130,33.5,130.5,33.5,130.5,33,130,33
371,128.5,33,129,33,129,32.5,128.5,32.5
372,129,33,129.5,33,129.5,32.5,129,32.5
374,128,32.5,128.5,32.5,128.5,32,128,32
375,128.5,32.5,129,32.5,129,32,128.5,32
376,129,32.5,129.5,32.5,129.5,32,129,32
377,129.5,32.5,130,32.5,130,32,129.5,32
378,127.5,32,128,32,128,31.5,127.5,31.5
379,128,32,128.5,32,128.5,31.5,128,31.5
380,128.5,32,129,32,129,31.5,128.5,31.5
381,129,32,129.5,32,129.5,31.5,129,31.5
382,129.5,32,130,32,130,31.5,129.5,31.5
384,133.5,34.5,134,34.5,134,34,133.5,34
385,134,34.5,134.5,34.5,134.5,34,134,34
386,134.5,34.5,135,34.5,135,34,134.5,34
387,135,34.5,135.5,34.5,135.5,34,135,34
388,136.5,34.5,137,34.5,137,34,136.5,34
389,137,34.5,137.5,34.5,137.5,34,137,34
390,137.5,34.5,138,34.5,138,34,137.5,34
391,132,34,132.5,34,132.5,33.5,132,33.5
392,132.5,34,133,34,133,33.5,132.5,33.5
393,133,34,133.5,34,133.5,33.5,133,33.5
394,133.5,34,134,34,134,33.5,133.5,33.5
395,134,34,134.5,34,134.5,33.5,134,33.5
396,134.5,34,135,34,135,33.5,134.5,33.5
397,135,34,135.5,34,135.5,33.5,135,33.5
398,136,34,136.5,34,136.5,33.5,136,33.5
399,136.5,34,137,34,137,33.5,136.5,33.5
400,137,34,137.5,34,137.5,33.5,137,33.5
401,121.5,34,122,34,122,33.5,121.5,33.5
402,122,34,122.5,34,122.5,33.5,122,33.5
403,121.5,33.5,122,33.5,122,33,121.5,33
404,122,33.5,122.5,33.5,122.5,33,122,33
405,121.5,33,122,33,122,32.5,121.5,32.5
406,122,33,122.5,33,122.5,32.5,122,32.5
407,122,32.5,122.5,32.5,122.5,32,122,32
408,122,32,122.5,32,122.5,31.5,122,31.5
409,137.5,34,138,34,138,33.5,137.5,33.5
410,131.5,34,132,34,132,33.5,131.5,33.5
411,131,33.5,131.5,33.5,131.5,33,131,33
412,131.5,33.5,132,33.5,132,33,131.5,33
413,132,33.5,132.5,33.5,132.5,33,132,33
414,132.5,33.5,133,33.5,133,33,132.5,33
415,134.5,33.5,135,33.5,135,33,134.5,33
416,135,33.5,135.5,33.5,135.5,33,135,33
417,136,33.5,136.5,33.5,136.5,33,136,33
418,136.5,33.5,137,33.5,137,33,136.5,33
419,137,33.5,137.5,33.5,137.5,33,137,33
420,137.5,33.5,138,33.5,138,33,137.5,33
421,132,33,132.5,33,132.5,32.5,132,32.5
422,133.5,33,134,33,134,32.5,133.5,32.5
423,134,33,134.5,33,134.5,32.5,134,32.5
424,134.5,33,135,33,135,32.5,134.5,32.5
425,135,33,135.5,33,135.5,32.5,135,32.5
426,135.5,33,136,33,136,32.5,135.5,32.5
427,136,33,136.5,33,136.5,32.5,136,32.5
428,136.5,33,137,33,137,32.5,136.5,32.5
429,137,33,137.5,33,137.5,32.5,137,32.5
430,137.5,33,138,33,138,32.5,137.5,32.5
432,132,32.5,132.5,32.5,132.5,32,132,32
433,132.5,32.5,133,32.5,133,32,132.5,32
434,133,32.5,133.5,32.5,133.5,32,133,32
435,133.5,32.5,134,32.5,134,32,133.5,32
436,134,32.5,134.5,32.5,134.5,32,134,32
437,134.5,32.5,135,32.5,135,32,134.5,32
438,135,32.5,135.5,32.5,135.5,32,135,32
439,135.5,32.5,136,32.5,136,32,135.5,32
440,136,32.5,136.5,32.5,136.5,32,136,32
441,136.5,32.5,137,32.5,137,32,136.5,32
442,137,32.5,137.5,32.5,137.5,32,137,32
443,137.5,32.5,138,32.5,138,32,137.5,32
444,131.5,32,132,32,132,31.5,131.5,31.5
445,132,32,132.5,32,132.5,31.5,132,31.5
446,132.5,32,133,32,133,31.5,132.5,31.5
447,133,32,133.5,32,133.5,31.5,133,31.5
448,133.5,32,134,32,134,31.5,133.5,31.5
449,134,32,134.5,32,134.5,31.5,134,31.5
450,134.5,32,135,32,135,31.5,134.5,31.5
451,135,32,135.5,32,135.5,31.5,135,31.5
452,135.5,32,136,32,136,31.5,135.5,31.5
453,136,32,136.5,32,136.5,31.5,136,31.5
454,136.5,32,137,32,137,31.5,136.5,31.5
